Płeć;5 km Tempo;Czas [s]
M;4.5233333333333325;5912.0
M;4.569999999999999;5913.0
M;4.496666666666667;5914.0
M;4.433333333333334;5914.0
M;4.6066666666666665;5914.0
M;4.416666666666667;5916.0
M;4.793333333333334;5916.0
M;4.510000000000001;5917.0
M;4.6466666666666665;5919.0
M;4.586666666666667;5919.0
M;4.5600000000000005;5919.0
M;4.543333333333334;5919.0
M;4.61;5919.0
M;4.62;5920.0
M;4.3;5920.0
M;4.3533333333333335;5921.0
K;4.473333333333333;5921.0
M;4.6433333333333335;5921.0
M;4.6433333333333335;5921.0
M;4.39;5922.0
M;4.343333333333334;5922.0
M;4.443333333333333;5923.0
M;4.503333333333333;5924.0
M;4.58;5926.0
M;4.716666666666667;5926.0
M;4.276666666666667;5929.0
M;4.546666666666667;5929.0
M;4.61;5929.0
M;4.42;5929.0
M;4.37;5930.0
M;4.569999999999999;5931.0
M;4.596666666666667;5932.0
M;4.433333333333334;5932.0
M;4.616666666666666;5933.0
M;4.52;5934.0
M;4.616666666666666;5934.0
M;4.37;5935.0
M;4.38;5936.0
M;4.739999999999999;5940.0
M;4.623333333333333;5940.0
M;4.423333333333333;5940.0
M;4.46;5941.0
M;4.54;5942.0
M;4.453333333333333;5942.0
M;4.406666666666666;5943.0
K;4.286666666666666;5943.0
M;4.66;5943.0
M;4.793333333333334;5944.0
M;4.593333333333334;5946.0
M;5.073333333333333;5946.0
M;4.653333333333333;5946.0
M;4.416666666666667;5947.0
M;4.536666666666666;5947.0
M;4.510000000000001;5947.0
M;4.446666666666667;5947.0
K;4.72;5947.0
M;4.656666666666666;5948.0
M;4.626666666666667;5949.0
M;4.556666666666667;5950.0
M;4.413333333333333;5951.0
M;4.5;5951.0
M;4.5633333333333335;5952.0
K;4.453333333333333;5953.0
M;4.6066666666666665;5955.0
M;4.510000000000001;5955.0
M;4.516666666666667;5956.0
M;4.3933333333333335;5956.0
M;4.65;5957.0
M;4.6466666666666665;5959.0
M;4.61;5960.0
M;4.41;5960.0
K;4.576666666666667;5961.0
M;4.466666666666667;5961.0
M;4.576666666666667;5962.0
M;4.446666666666667;5962.0
M;4.48;5964.0
M;4.463333333333334;5964.0
M;4.59;5964.0
M;4.526666666666667;5964.0
M;4.6066666666666665;5964.0
M;4.636666666666667;5965.0
M;4.616666666666666;5966.0
M;4.633333333333334;5966.0
M;4.73;5967.0
M;4.430000000000001;5967.0
M;4.739999999999999;5967.0
M;4.476666666666668;5968.0
M;4.6;5969.0
M;4.61;5970.0
M;4.78;5970.0
K;4.656666666666666;5970.0
M;4.61;5971.0
M;4.3566666666666665;5971.0
M;4.6066666666666665;5972.0
M;4.266666666666667;5972.0
M;4.583333333333333;5972.0
M;4.576666666666667;5972.0
M;4.736666666666666;5972.0
M;4.346666666666667;5972.0
M;4.566666666666666;5973.0
M;4.5600000000000005;5974.0
M;4.593333333333334;5974.0
M;4.72;5974.0
M;4.586666666666667;5975.0
M;4.6033333333333335;5975.0
M;4.71;5976.0
M;4.373333333333333;5976.0
M;4.63;5976.0
M;4.5600000000000005;5976.0
M;4.493333333333334;5976.0
K;4.473333333333333;5977.0
M;4.616666666666666;5977.0
K;4.61;5977.0
M;4.596666666666667;5977.0
M;4.486666666666666;5980.0
M;4.489999999999999;5981.0
M;4.6;5981.0
M;4.616666666666666;5982.0
M;4.676666666666667;5982.0
M;4.503333333333333;5983.0
M;4.6866666666666665;5984.0
M;4.61;5984.0
M;4.6;5984.0
M;4.3566666666666665;5985.0
M;4.613333333333333;5986.0
M;4.616666666666666;5986.0
M;4.73;5986.0
M;4.59;5986.0
M;4.71;5986.0
M;4.496666666666667;5987.0
M;4.44;5987.0
M;4.736666666666666;5988.0
M;4.6033333333333335;5988.0
M;4.513333333333334;5989.0
M;4.553333333333333;5989.0
M;4.253333333333333;5989.0
M;4.456666666666666;5990.0
M;4.616666666666666;5990.0
M;4.6466666666666665;5990.0
M;4.666666666666667;5990.0
M;4.6466666666666665;5991.0
M;4.583333333333333;5991.0
M;4.613333333333333;5992.0
M;4.53;5993.0
M;4.626666666666667;5994.0
M;4.34;5995.0
M;4.75;5996.0
M;4.476666666666668;5997.0
M;4.623333333333333;5997.0
M;4.576666666666667;5997.0
K;4.6466666666666665;5997.0
M;4.636666666666667;5997.0
K;4.556666666666667;5998.0
M;4.64;5998.0
M;4.6866666666666665;5999.0
M;4.753333333333333;5999.0
K;4.576666666666667;6002.0
M;4.6033333333333335;6002.0
M;4.61;6002.0
M;4.739999999999999;6003.0
M;4.546666666666667;6003.0
M;4.583333333333333;6003.0
M;4.65;6004.0
M;4.89;6004.0
M;4.693333333333333;6004.0
K;4.656666666666666;6004.0
M;4.226666666666667;6006.0
M;4.793333333333334;6006.0
K;4.54;6007.0
M;4.423333333333333;6009.0
M;4.573333333333333;6013.0
M;4.66;6013.0
M;4.816666666666666;6013.0
K;4.673333333333333;6013.0
M;4.673333333333333;6013.0
M;4.39;6014.0
M;4.956666666666666;6014.0
M;4.583333333333333;6015.0
M;4.6466666666666665;6016.0
M;4.6066666666666665;6018.0
M;4.386666666666667;6018.0
M;5.036666666666666;6019.0
M;4.66;6019.0
M;4.66;6020.0
M;4.62;6020.0
M;4.516666666666667;6021.0
M;4.493333333333334;6021.0
M;4.84;6021.0
M;4.489999999999999;6021.0
M;4.713333333333334;6026.0
M;4.593333333333334;6026.0
M;4.616666666666666;6026.0
K;4.67;6027.0
M;4.613333333333333;6027.0
M;4.656666666666666;6028.0
M;4.426666666666667;6029.0
M;4.69;6029.0
M;4.38;6031.0
M;4.703333333333333;6031.0
M;4.533333333333333;6032.0
M;4.703333333333333;6034.0
